"Plugin","Gutenberg-Compatible","Compatibility Reason","Active Installs"
"dc-woocommerce-multi-vendor","unknown","","8000"
"debug","unknown","","3000"
"debug-bar","likely_yes","Doesn't include editor functionality","30000"
"debug-bar-console","unknown","","5000"
"debug-bar-extender","unknown","","4000"
"debug-this","unknown","","5000"
"decent-comments","unknown","","5000"
"decorator-woocommerce-email-customizer","unknown","","3000"
"default-featured-image","unknown","","20000"
"default-thumbnail-plus","unknown","","8000"
"defender-security","unknown","","9000"
"definitely-allow-mobile-zooming","unknown","","6000"
"delete-all-comments","unknown","","0"
"delete-all-comments-easily","unknown","","20000"
"delete-comments","unknown","","3000"
"delete-comments-by-status","unknown","","6000"
"delete-duplicate-posts","unknown","","10000"
"delete-expired-transients","unknown","","7000"
"delete-multiple-themes","unknown","","4000"
"delete-pending-comments","unknown","","20000"
"delete-revision","likely_yes","Doesn't include editor functionality","10000"
"delightful-downloads","unknown","","10000"
"democracy-poll","unknown","","7000"
"demomentsomtres-wp-export","unknown","","3000"
"desktopserver","unknown","","4000"
"developer","unknown","","6000"
"device-mockups","unknown","","5000"
"device-theme-switcher","unknown","","4000"
"devices-elementor","unknown","","6000"
"digg-digg","unknown","","0"
"digiproveblog","unknown","","4000"
"digital-publications-by-supsystic","unknown","","3000"
"dirtysuds-embed-pdf","unknown","","20000"
"disable-admin-bar","unknown","","5000"
"disable-author-pages","unknown","","10000"
"disable-blog","unknown","","3000"
"disable-blogging","unknown","","5000"
"disable-comments","yes","Existing functionality works in Gutenberg","1000000"
"disable-comments-rb","unknown","","6000"
"disable-core-update-email","unknown","","3000"
"disable-emails","unknown","","4000"
"disable-embeds","unknown","","10000"
"disable-emojis","yes","Existing functionality works in Gutenberg","60000"
"disable-feeds","unknown","","20000"
"disable-google-fonts","yes","Doesn't include editor functionality","100000"
"disable-json-api","unknown","","40000"
"disable-new-user-notifications","unknown","","9000"
"disable-password-reset","unknown","","3000"
"disable-real-mime-check","unknown","","10000"
"disable-responsive-images","unknown","","3000"
"disable-revisions","unknown","","5000"
"disable-right-click","unknown","","4000"
"disable-search","unknown","","10000"
"disable-site","likely_yes","Doesn't include editor functionality","10000"
"disable-title","unknown","","10000"
"disable-toolbar","unknown","","3000"
"disable-updates","unknown","","6000"
"disable-users","likely_yes","Doesn't include editor functionality","7000"
"disable-visual-editor-wysiwyg","unknown","","5000"
"disable-woocommerce-reviews","unknown","","8000"
"disable-wordpress-core-update","unknown","","10000"
"disable-wordpress-plugin-updates","unknown","","6000"
"disable-wordpress-theme-updates","unknown","","5000"
"disable-wordpress-updates","unknown","","10000"
"disable-wp-registration-page","unknown","","3000"
"disable-wpautop","unknown","","8000"
"disable-xml-rpc","testing","","90000"
"disable-xml-rpc-littlebizzy","unknown","","3000"
"disable-xml-rpc-pingback","yes","Doesn't include editor functionality","80000"
"display-all-image-sizes","unknown","","4000"
"display-categories-widget","unknown","","8000"
"display-featured-image-genesis","unknown","","3000"
"display-php-version","unknown","","10000"
"display-posts-shortcode","yes","Existing functionality works in Gutenberg","100000"
"display-tweets-php","unknown","","9000"
"display-widgets","unknown","","0"
"disqus-comment-system","likely_yes","Existing functionality works in Gutenberg","200000"
"disqus-conditional-load","unknown","","10000"
"ditty-news-ticker","unknown","","40000"
"div-shortcode","unknown","","5000"
"dk-new-medias-image-rotator-widget","unknown","","7000"
"dk-pdf","unknown","","4000"
"dk-pricr-responsive-pricing-table","unknown","","20000"
"dmca-badge","unknown","","3000"
"dmsguestbook","unknown","","0"
"dnui-delete-not-used-image-wordpress","unknown","","8000"
"document-gallery","unknown","","20000"
"docxpresso","unknown","","5000"
"dokan-lite","unknown","","8000"
"donation-button","unknown","","8000"
"dont-muck-my-markup","unknown","","4000"
"download-attachments","unknown","","10000"
"download-manager","likely_yes","Doesn't include editor functionality","100000"
"download-media-library","unknown","","6000"
"download-monitor","testing","","90000"
"downml","likely_yes","Doesn't include editor functionality","10000"
"dp-maintenance-mode-lite","likely_yes","Doesn't include editor functionality","0"
"drafts-scheduler","unknown","","30000"
"drag-drop-featured-image","unknown","","8000"
"draw-attention","unknown","","5000"
"drawit","unknown","","3000"
"dreamgrow-scroll-triggered-box","unknown","","8000"
"drift","unknown","","10000"
"drop-shadow-boxes","unknown","","10000"
"dropbox-backup","likely_yes","Doesn't include editor functionality","40000"
"dropdown-menu-widget","unknown","","20000"
"dropdown-menus","unknown","","4000"
"dsgnwrks-instagram-importer","unknown","","4000"
"dsidxpress","unknown","","9000"
"duo-wordpress","likely_yes","Doesn't include editor functionality","7000"
"duplicate-clone-pages-posts","unknown","","0"
"duplicate-menu","unknown","","30000"
"duplicate-page","likely_yes","Some editor UI is missing","400000"
"duplicate-page-and-post","unknown","","0"
"duplicate-post","yes","Doesn't include editor functionality","2000000"
"duplicate-theme","unknown","","6000"
"duplicate-widget","unknown","","7000"
"duplicate-widgets","unknown","","3000"
"duplicate-wp-page-post","unknown","","8000"
"duplicator","likely_yes","Doesn't include editor functionality","1000000"
"duplicator-clone","likely_yes","Doesn't include editor functionality","5000"
"duracelltomi-google-tag-manager","likely_yes","Doesn't include editor functionality","100000"
"dvk-social-sharing","unknown","","7000"
"dw-promobar","unknown","","5000"
"dw-question-answer","unknown","","10000"
"dw-twitter","unknown","","4000"
"dx-auto-save-images","unknown","","4000"
"dx-seo-tool","unknown","","0"
"dx-watermark","unknown","","3000"
"dynamic-content-gallery-plugin","unknown","","10000"
"dynamic-featured-image","testing","","80000"
"dynamic-headers","unknown","","10000"
"dynamic-pricing-and-discounts-for-woocommerce-basic-version","unknown","","3000"
"dynamic-to-top","unknown","","40000"
"dynamic-widgets","yes","Existing functionality works in Gutenberg, Doesn't include editor functionality","70000"
"e-mailit","unknown","","5000"
"easing-slider","no","Some editor UI is missing","70000"
"easy-404-redirect","unknown","","5000"
"easy-add-thumbnail","unknown","","10000"
"easy-adsense-ads-scripts-manager","unknown","","3000"
"easy-adsense-lite","unknown","","20000"
"easy-affiliate-links","unknown","","10000"
"easy-appointments","unknown","","9000"
"easy-author-image","unknown","","8000"
"easy-bootstrap-shortcodes","unknown","","40000"
"easy-captcha","likely_yes","Doesn't include editor functionality","5000"
"easy-columns","testing","","80000"
"easy-coming-soon","unknown","","20000"
"easy-contact","unknown","","10000"
"easy-contact-forms","unknown","","0"
"easy-countdowner","unknown","","4000"
"easy-custom-auto-excerpt","unknown","","10000"
"easy-custom-sidebars","unknown","","20000"
"easy-digital-downloads","testing","","60000"
"easy-facebook-feed","unknown","","4000"
"easy-facebook-like-box","unknown","","9000"
"easy-facebook-likebox","likely_yes","Doesn't include editor functionality","100000"
"easy-fancybox","likely_no","Some editor UI is missing","300000"
"easy-faq-with-expanding-text","unknown","","6000"
"easy-flash-embed","unknown","","5000"
"easy-footnotes","unknown","","4000"
"easy-foundation-shortcodes","unknown","","4000"
"easy-google-analytics-for-wordpress","likely_yes","Doesn't include editor functionality","4000"
"easy-google-fonts","likely_yes","Existing functionality works in Gutenberg","300000"
"easy-iframe-loader","unknown","","5000"
"easy-image-collage","unknown","","5000"
"easy-image-gallery","unknown","","20000"
"easy-instagram","unknown","","4000"
"easy-instagram-feed","unknown","","4000"
"easy-logo-slider","unknown","","8000"
"easy-maintenance-mode-coming-soon","likely_yes","Doesn't include editor functionality","7000"
"easy-media-download","unknown","","10000"
"easy-media-gallery","unknown","","10000"
"easy-modal","unknown","","30000"
"easy-noindex-and-nofollow","unknown","","4000"
"easy-paypal-donation","unknown","","10000"
"easy-peasy-mailchimp-ajax-form","unknown","","3000"
"easy-photo-album","unknown","","6000"
"easy-pie-coming-soon","likely_yes","Doesn't include editor functionality","20000"
"easy-pie-maintenance-mode","likely_yes","Doesn't include editor functionality","20000"
"easy-pricing-tables","unknown","","30000"
"easy-privacy-policy","unknown","","0"
"easy-property-listings","unknown","","6000"
"easy-random-posts","unknown","","0"
"easy-responsive-shortcodes","unknown","","7000"
"easy-responsive-tabs","unknown","","10000"
"easy-seo-friendly-images","unknown","","4000"
"easy-sidebar-menu-widget","unknown","","6000"
"easy-sign-up","unknown","","10000"
"easy-smooth-scroll-links","unknown","","50000"
"easy-social-icons","unknown","","50000"
"easy-social-share-buttons","unknown","","10000"
"easy-social-sharing","unknown","","3000"
"easy-spoiler","unknown","","3000"
"easy-table","unknown","","0"
"easy-table-of-contents","unknown","","10000"
"easy-testimonials","unknown","","40000"
"easy-theme-and-plugin-upgrades","likely_yes","Doesn't include editor functionality","100000"
"easy-timer","unknown","","5000"
"easy-twitter-feed-widget","likely_yes","Doesn't include editor functionality","80000"
"easy-video-player","unknown","","30000"
"easy-visitor-counter","unknown","","10000"
"easy-vkontakte-connect","unknown","","5000"
"easy-watermark","unknown","","30000"
"easy-webmaster-tools","unknown","","7000"
"easy-wp-cookie-popup","unknown","","3000"
"easy-wp-meta-description","unknown","","4000"
"easy-wp-page-navigation","unknown","","4000"
"easy-wp-parallax-slider","unknown","","3000"
"easy-wp-smtp","likely_yes","Doesn't include editor functionality","200000"
"easy-youtube-subscribe","unknown","","4000"
"easy2map","unknown","","3000"
"easyazon","unknown","","10000"
"easylogo","unknown","","7000"
"easymega","unknown","","8000"
"easyrecipe","unknown","","10000"
"easyreservations","unknown","","8000"
"easyrotator-for-wordpress","unknown","","7000"
"echo-knowledge-base","unknown","","3000"
"ecommerce-product-catalog","unknown","","10000"
"ecwid-shopping-cart","unknown","","20000"
"edit-author-slug","testing","","90000"
"edit-flow","no","JavaScript error prevents use, Some editor UI is missing","10000"
"editor-extender","unknown","","5000"
"editor-menu-and-widget-access","unknown","","6000"
"editorial-calendar","unknown","","50000"
"efficient-related-posts","unknown","","4000"
"eg-attachments","unknown","","3000"
"eig-sso","unknown","","20000"
"elegant-themes-icons","unknown","","4000"
"elementor","likely_yes","Some editor UI is missing","500000"
"elementor-addon-widgets","unknown","","20000"
"elementor-templater","unknown","","30000"
"elements-plus","unknown","","4000"
"email-address-encoder","yes","Doesn't include editor functionality","100000"
"email-before-download","unknown","","20000"
"email-encoder-bundle","unknown","","30000"
"email-log","unknown","","10000"
"email-marketing","unknown","","8000"
"email-newsletter","unknown","","0"
"email-posts-to-subscribers","unknown","","4000"
"email-subscribe","unknown","","5000"
"email-subscribers","yes","Doesn't include editor functionality","100000"
"email-subscription","unknown","","4000"
"email-templates","unknown","","10000"
"email-users","unknown","","10000"
"embed-any-document","unknown","","40000"
"embed-form","unknown","","10000"
"embed-google-map","unknown","","6000"
"embed-iframe","unknown","","10000"
"embed-rss","unknown","","3000"
"embedded-video-with-link","unknown","","7000"
"embedit-pro","unknown","","3000"
"embedly","unknown","","8000"
"embedplus-for-wordpress","unknown","","10000"
"embedpress","unknown","","3000"
"enable-media-replace","yes","Doesn't include editor functionality","200000"
"endora","unknown","","4000"
"english-wp-admin","unknown","","10000"
"enhanced-admin-bar-with-codex-search","unknown","","6000"
"enhanced-category-pages","unknown","","4000"
"enhanced-custom-permalinks","unknown","","3000"
"enhanced-e-commerce-for-woocommerce-store","likely_yes","Doesn't include editor functionality","30000"
"enhanced-media-library","likely_yes","Existing functionality works in Gutenberg, Doesn't include editor functionality","100000"
"enhanced-text-widget","testing","","60000"
"enhanced-tooltipglossary","unknown","","8000"
"enhanced-wordpress-contactform","unknown","","4000"
"enjoy-instagram-instagram-responsive-images-gallery-and-carousel","unknown","","10000"
"enlighter","unknown","","8000"
"entry-views","unknown","","20000"
"envialosimple-email-marketing-y-newsletters-gratis","unknown","","6000"
"envira-gallery-lite","testing","","100000"
"eonet-live-notifications","unknown","","3000"
"ep-social-widget","unknown","","3000"
"eps-301-redirects","unknown","","50000"
"equal-height-columns","unknown","","9000"
"equivalent-mobile-redirect","unknown","","6000"
"erident-custom-login-and-dashboard","likely_yes","Doesn't include editor functionality","30000"
"erp","unknown","","4000"
"error-log-monitor","likely_yes","Doesn't include editor functionality","10000"
"eshop","unknown","","0"
"essential-addons-for-elementor-lite","unknown","","10000"
"essential-content-types","unknown","","3000"
"etsy-shop","unknown","","6000"
"eu-cookie-law","likely_yes","Doesn't include editor functionality","90000"
"eu-cookie-law-compliance","unknown","","4000"
"event-calendar","unknown","","0"
"event-calendar-wd","unknown","","30000"
"event-espresso","unknown","","0"
"event-list","unknown","","10000"
"event-organiser","unknown","","40000"
"event-organiser-posterboard","unknown","","4000"
"event-registration","unknown","","0"
"event-tickets","unknown","","20000"
"eventbrite-api","unknown","","8000"
"events-calendar","unknown","","0"
"events-made-easy","unknown","","10000"
"events-maker","unknown","","4000"
"events-manager","likely_yes","Doesn't include editor functionality","100000"
"everlightbox","unknown","","4000"
"evermore","unknown","","9000"
"ewww-image-optimizer","yes","Doesn't include editor functionality","600000"
"ewww-image-optimizer-cloud","unknown","","5000"
"excerpt-editor","unknown","","3000"
"exclude-or-include-pages-tags-posts-categories-integrate-with-wiziapp","unknown","","5000"
"exclude-pages","yes","Existing functionality works in Gutenberg","100000"
"exclude-pages-from-menu","unknown","","5000"
"exec-php","unknown","","0"
"exif-remove-imagemagick","unknown","","3000"
"expand-maker","unknown","","6000"
"expandcollapse-funk","unknown","","4000"
"expander","unknown","","4000"
"exploit-scanner","likely_yes","Doesn't include editor functionality","50000"
"export-all-urls","unknown","","9000"
"export-featured-images","unknown","","6000"
"export-plugins-and-templates","unknown","","4000"
"export-to-text","unknown","","5000"
"export-user-data","unknown","","20000"
"export-users-to-csv","unknown","","20000"
"express-checkout","unknown","","6000"
"extended-categories-widget","unknown","","20000"
"external-featured-image","unknown","","7000"
"external-link-rewriter","unknown","","3000"
"external-media","unknown","","5000"
"extra-shortcodes","unknown","","4000"
"extra-user-details","unknown","","4000"
"ezphp","unknown","","4000"
"ezpz-one-click-backup","likely_yes","Doesn't include editor functionality","0"
"facebook","yes","Doesn't include editor functionality","100000"
"facebook-auto-publish","unknown","","40000"
"facebook-button-plugin","unknown","","30000"
"facebook-by-weblizar","unknown","","60000"
"facebook-comment-by-vivacity","unknown","","9000"
"facebook-comments-for-wordpress","unknown","","8000"
"facebook-comments-plugin","likely_yes","Doesn't include editor functionality","100000"
"facebook-conversion-pixel","yes","Existing functionality works in Gutenberg","70000"
"facebook-fan-box","unknown","","6000"
"facebook-fan-page-widget","unknown","","6000"
"facebook-feed","unknown","","10000"
"facebook-like","unknown","","5000"
"facebook-like-box","unknown","","10000"
"facebook-like-box-widget","yes","Doesn't include editor functionality","80000"
"facebook-like-button","unknown","","5000"
"facebook-like-send-button","unknown","","3000"
"facebook-like-thumbnail","unknown","","8000"
"facebook-likebox-widget-and-shortcode","unknown","","10000"
"facebook-likes-you","unknown","","4000"
"facebook-members","unknown","","10000"
"facebook-page-feed-graph-api","unknown","","30000"
"facebook-page-promoter-lightbox","unknown","","10000"
"facebook-pagelike-widget","likely_yes","Doesn't include editor functionality","100000"
"facebook-photo-fetcher","unknown","","6000"
"facebook-pixel","unknown","","30000"
"facebook-share-new","unknown","","0"
"facebook-shop-by-storeyacom","unknown","","7000"
"facebook-social-plugin-widgets","unknown","","7000"
"facebook-stream","unknown","","4000"
"facebook-thumb-fixer","unknown","","30000"
"facebook-twitter-google-social-widgets","unknown","","0"
"facebook-video-embed","unknown","","7000"
"facebook-widget-plus","unknown","","0"
"facebookall","likely_yes","Doesn't include editor functionality","4000"
"fakerpress","unknown","","10000"
"famethemes-demo-importer","unknown","","50000"
"fancier-author-box","unknown","","10000"
"fancy-admin-ui","unknown","","4000"
"fancy-box","unknown","","20000"
"fancy-gallery","unknown","","10000"
"fancybox-for-wordpress","no","Some editor UI is missing","100000"
"fantastic-content-protector-free","unknown","","10000"
"faq-responsive","unknown","","10000"
"faq-wd","unknown","","3000"
"far-future-expiry-header","likely_yes","Doesn't include editor functionality","20000"
"fast-secure-recaptcha","unknown","","0"
"fast-velocity-minify","unknown","","30000"
"faster-image-insert","unknown","","10000"
"faster-pagination","unknown","","10000"
"fatpanda-facebook-comments","unknown","","7000"
"favhero-favicon-generator","unknown","","5000"
"favicon-by-realfavicongenerator","yes","Doesn't include editor functionality","100000"
"favicon-rotator","unknown","","40000"
"favicon-xt-manager","unknown","","20000"
"favicons","unknown","","0"
"favorites","unknown","","10000"
"fb-instant-articles","yes","Existing functionality works in Gutenberg","80000"
"fb-live-chat","unknown","","3000"
"fb-messenger","unknown","","5000"
"fb-messenger-live-chat","unknown","","20000"
"fb-messenger-livechat","unknown","","3000"
"fb-reviews-widget","unknown","","9000"
"fbf-facebook-page-feed-widget","unknown","","5000"
"fblikebutton","unknown","","5000"
"fckeditor-for-wordpress-plugin","unknown","","0"
"fd-footnotes","unknown","","4000"
"feature-a-page-widget","unknown","","10000"
"featured-articles-lite","unknown","","3000"
"featured-content-gallery","unknown","","10000"
"featured-galleries","unknown","","6000"
"featured-image","unknown","","7000"
"featured-image-admin-thumb-fiat","unknown","","10000"
"featured-image-caption","unknown","","3000"
"featured-image-column","unknown","","7000"
"featured-image-from-url","unknown","","20000"
"featured-image-in-rss-feed","unknown","","7000"
"featured-images-for-rss-feeds","unknown","","20000"
"featured-post","unknown","","6000"
"featured-post-with-thumbnail","unknown","","3000"
"featured-video-plus","unknown","","30000"
"features-by-woothemes","unknown","","30000"
"fedex-woocommerce-shipping-method","unknown","","4000"
"feed-them-social","unknown","","60000"
"feedburner-email-subscription","unknown","","7000"
"feedburner-email-widget","unknown","","5000"
"feedburner-form","unknown","","10000"
"feedburner-plugin","unknown","","30000"
"feedburner-setting","unknown","","8000"
"feedwordpress","unknown","","50000"
"feedzy-rss-feeds","unknown","","20000"
"fetch-tweets","unknown","","4000"
"fg-joomla-to-wordpress","unknown","","10000"
"file-away","unknown","","10000"
"file-gallery","unknown","","9000"
"file-manager","unknown","","0"
"file-renaming-on-upload","unknown","","5000"
"filebrowser","unknown","","0"
"filenames-to-latin","unknown","","9000"
"final-tiles-grid-gallery-lite","unknown","","30000"
"finale-woocommerce-sales-countdown-timer-discount","unknown","","3000"
"find-and-replace-all","unknown","","10000"
"find-duplicates","unknown","","4000"
"find-replace","unknown","","0"
"fitvids-for-wordpress","unknown","","8000"
"fix-duplicates","unknown","","10000"
"fix-my-feed-rss-repair","unknown","","5000"
"fix-rss-feed","unknown","","5000"
"flamingo","likely_yes","Doesn't include editor functionality","300000"
"flare","unknown","","10000"
"flash-album-gallery","unknown","","30000"
"flash-mp3-player","unknown","","0"
"flash-toolkit","unknown","","20000"
"flash-video-player","unknown","","9000"
"flat-rate-per-countryregion-for-woocommerce","unknown","","4000"
"flexi-pages-widget","unknown","","20000"
"flexi-quote-rotator","unknown","","10000"
"flexible-checkout-fields","unknown","","4000"
"flexible-posts-widget","unknown","","30000"
"flexible-shipping","unknown","","10000"
"flexible-woocommerce-checkout-field-editor","unknown","","3000"
"flexslider-hg","unknown","","9000"
"flickr-album-gallery","unknown","","10000"
"flickr-badges-widget","unknown","","20000"
"flickr-gallery","unknown","","3000"
"flickr-justified-gallery","unknown","","10000"
"flickr-pick-a-picture","unknown","","5000"
"flickr-rss","unknown","","0"
"flo-instagram","unknown","","6000"
"float-left-right-advertising","unknown","","5000"
"float-menu","unknown","","3000"
"float-to-top-button","unknown","","5000"
"floating-menu","unknown","","3000"
"floating-social-bar","unknown","","10000"
"floating-social-media-icon","unknown","","50000"
"floating-social-media-links","unknown","","6000"
"flow-flow-social-streams","unknown","","5000"
"flowpaper-lite-pdf-flipbook","unknown","","10000"
"flowplayer5","unknown","","3000"
"flowplayer6-video-player","unknown","","3000"
"fluid-responsive-slideshow","unknown","","10000"
"fluid-video-embeds","unknown","","10000"
"flv-embed","unknown","","8000"
"flynsarmy-iframe-shortcode","unknown","","4000"
"focus-videos","unknown","","3000"
"folders","unknown","","6000"
"follow","unknown","","0"
"follow-me","unknown","","3000"
"font","unknown","","30000"
"font-awesome","unknown","","30000"
"font-awesome-4-menus","unknown","","50000"
"font-awesome-integration","unknown","","4000"
"font-awesome-more-icons","unknown","","10000"
"font-awesome-shortcodes","unknown","","5000"
"font-organizer","unknown","","20000"
"font-resizer","unknown","","7000"
"font-uploader","unknown","","0"
"fontific","unknown","","4000"
"fonts","unknown","","30000"
"foobox-image-lightbox","no","Some editor UI is missing","100000"
"food-and-drink-menu","unknown","","10000"
"foogallery","no","Some editor UI is missing","100000"
"foogallery-owl-carousel-template","unknown","","9000"
"foogallery-zoom-template","unknown","","4000"
"footable","unknown","","9000"
"footer-javascript","unknown","","4000"
"footer-putter","unknown","","20000"
"footer-text","unknown","","10000"
"footnotes","unknown","","4000"
"for-the-visually-impaired","unknown","","4000"
"force-email-login","likely_yes","Doesn't include editor functionality","4000"
"force-https-littlebizzy","unknown","","10000"
"force-regenerate-thumbnails","yes","Doesn't include editor functionality","600000"
"force-ssl","unknown","","3000"
"force-strong-passwords","unknown","","10000"
"forget-about-shortcode-buttons","unknown","","40000"
"form-lightbox","unknown","","0"
"form-maker","likely_yes","Some editor UI is missing","100000"
"format-media-titles","unknown","","5000"
"formbuilder","unknown","","10000"
"formcraft-form-builder","unknown","","7000"
"formcraft-recaptcha","likely_yes","Doesn't include editor functionality","3000"
"formforall","unknown","","7000"
"formget-contact-form","unknown","","20000"
"formidable","likely_no","Meta box doesn't work as expected","200000"
"formilla-live-chat","unknown","","9000"
"forms-3rdparty-integration","unknown","","9000"
"forms-contact","unknown","","0"
"forms-for-campaign-monitor","unknown","","4000"
"forty-four","unknown","","5000"
"fotorama","unknown","","5000"
"fourteen-colors","unknown","","20000"
"fourteen-extended","unknown","","0"
"free-counter","unknown","","6000"
"free-google-fonts","unknown","","10000"
"frizzly","unknown","","4000"
"front-end-editor","unknown","","5000"
"front-end-only-users","unknown","","3000"
"front-end-pm","unknown","","7000"
"front-page-category","unknown","","8000"
"frontend-uploader","unknown","","8000"
"frontpage-manager","unknown","","7000"
"fruitful-shortcodes","unknown","","20000"
"full-site-builder-for-elementor","unknown","","6000"
"fullscreen-galleria","unknown","","3000"
"fullwidth-templates","unknown","","20000"
"fully-background-manager","unknown","","20000"
"functionality","unknown","","4000"
"fuse-social-floating-sidebar","unknown","","10000"
"fusion","unknown","","4000"
"fv-all-in-one-seo-pack","unknown","","8000"
"fv-antispam","unknown","","5000"
"fv-top-level-cats","unknown","","30000"
"fv-wordpress-flowplayer","unknown","","30000"
"fx-private-site","unknown","","3000"
"ga-google-analytics","likely_yes","Doesn't include editor functionality","100000"
"gabfire-widget-pack","unknown","","8000"
"gallery-and-caption","unknown","","0"
"gallery-bank","unknown","","20000"
"gallery-by-supsystic","yes","Doesn't include editor functionality","60000"
"gallery-images","unknown","","0"
"gallery-images-ape","unknown","","4000"
"gallery-lightbox-slider","unknown","","10000"
"gallery-metabox","unknown","","5000"
"gallery-plugin","likely_no","Doesn't include editor functionality","60000"
"gallery-portfolio","unknown","","3000"
"gallery-slideshow","unknown","","5000"
"gallery-video","unknown","","0"
"gallery-videos","unknown","","4000"
"gallery-widget","unknown","","3000"
"gantry","unknown","","20000"
"gantry5","unknown","","10000"
"gc-message-bar","unknown","","5000"
"gc-testimonials","unknown","","8000"
"gd-bbpress-attachments","unknown","","10000"
"gd-bbpress-tools","unknown","","5000"
"gd-press-tools","unknown","","0"
"gd-rating-system","unknown","","4000"
"gd-star-rating","unknown","","0"
"gecka-submenu","unknown","","8000"
"genericond","unknown","","5000"
"genesis-404-page","unknown","","9000"
"genesis-author-pro","unknown","","3000"
"genesis-club-lite","unknown","","3000"
"genesis-columns-advanced","unknown","","20000"
"genesis-connect-woocommerce","unknown","","20000"
"genesis-custom-footer","unknown","","10000"
"genesis-custom-headers","unknown","","4000"
"genesis-dambuster","unknown","","10000"
"genesis-easy-columns","unknown","","10000"
"genesis-enews-extended","yes","Doesn't include editor functionality","100000"
"genesis-favicon-uploader","unknown","","20000"
"genesis-featured-content-widget","unknown","","5000"
"genesis-featured-page-advanced","unknown","","8000"
"genesis-featured-widget-amplified","unknown","","10000"
"genesis-footer-builder","unknown","","6000"
"genesis-grid-loop","unknown","","6000"
"genesis-latest-tweets","unknown","","0"
"genesis-layout-extras","unknown","","10000"
"genesis-portfolio-pro","unknown","","8000"
"genesis-responsive-slider","yes","Doesn't include editor functionality","70000"
"genesis-simple-edits","likely_yes","Some editor UI is missing","200000"
"genesis-simple-headers","unknown","","3000"
"genesis-simple-hooks","testing","","80000"
"genesis-simple-menus","unknown","","8000"
"genesis-simple-share","unknown","","30000"
"genesis-simple-sidebars","unknown","","40000"
"genesis-slider","unknown","","0"
"genesis-tabs","unknown","","5000"
"genesis-title-toggle","unknown","","30000"
"genesis-toolbar-extras","unknown","","3000"
"genesis-translations","unknown","","20000"
"genesis-visual-hook-guide","unknown","","6000"
"genesis-widget-column-classes","unknown","","4000"
"genesis-widgetized-footer","unknown","","3000"
"geo-mashup","unknown","","6000"
"geo-my-wp","unknown","","7000"
"geodirectory","unknown","","10000"
"geoip-detect","likely_yes","Doesn't include editor functionality","10000"
"get-custom-field-values","unknown","","7000"
"get-recent-comments","unknown","","10000"
"get-the-image","unknown","","50000"
"getresponse-integration","unknown","","10000"
"getsitecontrol","unknown","","7000"
"getsocial","unknown","","4000"
"gf-form-multicolumn","unknown","","6000"
"gift-cards-for-woocommerce","unknown","","7000"
"giga-store-advanced-sections","unknown","","3000"
"gigpress","unknown","","10000"
"ginger","unknown","","7000"
"giphypress","unknown","","6000"
"give","unknown","","40000"
"global-admin-bar-hide-or-remove","unknown","","0"
"global-content-blocks","unknown","","0"
"global-translator","unknown","","6000"
"glue-for-yoast-seo-amp","likely_yes","Doesn't include editor functionality","70000"
"gm-block-bots","likely_yes","Doesn't include editor functionality","7000"
"gmail-smtp","likely_yes","Doesn't include editor functionality","20000"
"gmap-embed","unknown","","30000"
"go-live-update-urls","unknown","","30000"
"gocodes","unknown","","0"
"godaddy-email-marketing-sign-up-forms","likely_yes","Doesn't include editor functionality","100000"
"good-reviews-wp","unknown","","3000"
"goodbarber","unknown","","4000"
"goodbye-captcha","likely_yes","Doesn't include editor functionality","10000"
"google","unknown","","0"
"google-adsense-dashboard-for-wp","unknown","","3000"
"google-adwords-remarketing","unknown","","10000"
"google-analyticator","likely_yes","Doesn't include editor functionality","300000"
"google-analytics-adder","likely_yes","Doesn't include editor functionality","3000"
"google-analytics-dashboard","likely_yes","Doesn't include editor functionality","0"
"google-analytics-dashboard-for-wp","likely_yes","Doesn't include editor functionality","1000000"
"google-analytics-for-wordpress","likely_yes","Doesn't include editor functionality","1000000"
"google-analytics-master","likely_yes","Doesn't include editor functionality","6000"
"google-analytics-opt-out","likely_yes","Doesn't include editor functionality","6000"
"google-analytics-plugin","likely_yes","Doesn't include editor functionality","3000"
"google-analytics-y-la-ley-de-cookies","likely_yes","Doesn't include editor functionality","3000"
"google-apps-login","unknown","","10000"
"google-authenticator","likely_yes","Doesn't include editor functionality","30000"
"google-author-information-in-search-results-wordpress-plugin","unknown","","0"
"google-author-link","unknown","","9000"
"google-calendar-events","testing","","80000"
"google-calendar-widget","unknown","","6000"
"google-captcha","likely_yes","Doesn't include editor functionality","100000"
"google-custom-search","unknown","","5000"
"google-document-embedder","likely_no","Some editor UI is missing","90000"
"google-drive-embedder","unknown","","10000"
"google-drive-wp-media","unknown","","3000"
"google-font-manager","unknown","","0"
"google-image-sitemap","likely_yes","Doesn't include editor functionality","30000"
"google-image-sitemap-feed-with-multisite-support","likely_yes","Doesn't include editor functionality","5000"
"google-language-translator","likely_yes","Existing functionality works in Gutenberg","100000"
"google-map-shortcode","unknown","","10000"
"google-map-wp","unknown","","0"
"google-maps","unknown","","0"
"google-maps-anywhere","unknown","","5000"
"google-maps-builder","unknown","","30000"
"google-maps-easy","unknown","","30000"
"google-maps-embed","unknown","","4000"
"google-maps-for-wordpress","unknown","","4000"
"google-maps-ready","unknown","","0"
"google-maps-v3-shortcode","unknown","","10000"
